# Taxid	Sci.Name	Rank	Named Lineage	Taxid Lineage
679937	Bacteroides coprosuis DSM 18011	no rank	root,cellular organisms,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides coprosuis,Bacteroides coprosuis DSM 18011	1,131567,2,68336,976,200643,171549,815,816,151276,679937
888833	Streptococcus australis ATCC 700641	no rank	root,cellular organisms,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus australis,Streptococcus australis ATCC 700641	1,131567,2,1239,91061,186826,1300,1301,113107,888833
196627	Corynebacterium glutamicum ATCC 13032	no rank	root,cellular organisms,Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Corynebacterineae,Corynebacteriaceae,Corynebacterium,Corynebacterium glutamicum,Corynebacterium glutamicum ATCC 13032	1,131567,2,201174,1760,85003,2037,85007,1653,1716,1718,196627
446470	Stackebrandtia nassauensis DSM 44728	no rank	root,cellular organisms,Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Glycomycineae,Glycomycetaceae,Stackebrandtia,Stackebrandtia nassauensis,Stackebrandtia nassauensis DSM 44728	1,131567,2,201174,1760,85003,2037,85014,85034,283810,283811,446470
270374	Marinobacter sp. ELB17	species	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,Marinobacter sp. ELB17	1,131567,2,1224,1236,135622,72275,2742,270374
589865	Desulfurivibrio alkaliphilus AHT2	no rank	root,cellular organisms,Bacteria,Proteobacteria,delta/epsilon subdivisions,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfurivibrio,Desulfurivibrio alkaliphilus,Desulfurivibrio alkaliphilus AHT2	1,131567,2,1224,68525,28221,213118,213121,427922,427923,589865
622637	Methylocystis sp. ATCC 49242	species	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylocystis,Methylocystis sp. ATCC 49242	1,131567,2,1224,28211,356,31993,133,622637
696369	Desulfotomaculum nigrificans DSM 574	no rank	root,cellular organisms,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,Desulfotomaculum nigrificans,Desulfotomaculum nigrificans DSM 574	1,131567,2,1239,186801,186802,186807,1562,1565,696369
180281	Cyanobium sp. PCC 7001	species	root,cellular organisms,Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Cyanobium,Cyanobium sp. PCC 7001	1,131567,2,1117,1301283,1118,167375,180281
401473	Bifidobacterium dentium Bd1	no rank	root,cellular organisms,Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium dentium,Bifidobacterium dentium Bd1	1,131567,2,201174,1760,85003,85004,31953,1678,1689,401473
860228	Capnocytophaga canimorsus Cc5	no rank	root,cellular organisms,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga canimorsus,Capnocytophaga canimorsus Cc5	1,131567,2,68336,976,117743,200644,49546,1016,28188,860228
1045858	Brachyspira intermedia PWS/A	no rank	root,cellular organisms,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Brachyspiraceae,Brachyspira,Brachyspira intermedia,Brachyspira intermedia PWS/A	1,131567,2,203691,203692,136,143786,29521,84377,1045858
393305	Yersinia enterocolitica subsp. enterocolitica 8081	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia,Yersinia enterocolitica,Yersinia enterocolitica subsp. enterocolitica,Yersinia enterocolitica subsp. enterocolitica 8081	1,131567,2,1224,1236,91347,543,629,630,150052,393305
416269	Actinobacillus pleuropneumoniae serovar 5b str. L20	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,Actinobacillus pleuropneumoniae serovar 5,Actinobacillus pleuropneumoniae serovar 5b str. L20	1,131567,2,1224,1236,135625,712,713,715,44294,416269
715451	Alteromonas sp. SN2	species	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas sp. SN2	1,131567,2,1224,1236,135622,72275,226,715451
589924	Ferroglobus placidus DSM 10642	no rank	root,cellular organisms,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Ferroglobus,Ferroglobus placidus,Ferroglobus placidus DSM 10642	1,131567,2157,28890,183980,2231,2232,54260,54261,589924
311402	Agrobacterium vitis S4	no rank	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,Agrobacterium,Agrobacterium vitis,Agrobacterium vitis S4	1,131567,2,1224,28211,356,82115,227290,357,373,311402
311403	Agrobacterium radiobacter K84	no rank	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,Agrobacterium,Agrobacterium tumefaciens complex,Agrobacterium tumefaciens,Agrobacterium radiobacter K84	1,131567,2,1224,28211,356,82115,227290,357,1183400,358,311403
907965	Encephalitozoon hellem ATCC 50504	no rank	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Microsporidia,Apansporoblastina,Unikaryonidae,Encephalitozoon,Encephalitozoon hellem,Encephalitozoon hellem ATCC 50504	1,131567,2759,33154,4751,6029,6032,36734,6033,27973,907965
688245	Comamonas testosteroni CNB-2	no rank	root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas testosteroni,Comamonas testosteroni CNB-1,Comamonas testosteroni CNB-2	1,131567,2,1224,28216,80840,80864,283,285,543891,688245
401526	Thermosinus carboxydivorans Nor1	no rank	root,cellular organisms,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Thermosinus,Thermosinus carboxydivorans,Thermosinus carboxydivorans Nor1	1,131567,2,1239,909932,909929,31977,261684,261685,401526
335992	Candidatus Pelagibacter ubique HTCC1062	no rank	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified Alphaproteobacteria,SAR11 cluster,Candidatus Pelagibacter,Candidatus Pelagibacter ubique,Candidatus Pelagibacter ubique HTCC1062	1,131567,2,1224,28211,82117,54526,198251,198252,335992
