#species name	tax id	core/periphery/adherent	source	source version
Sinorhizobium fredii NGR234	394	periphery	Refseq	not available
Desulfovibrio vulgaris str. Hildenborough	882	periphery	Refseq	not available
Desulfovibrio vulgaris str. 'Miyazaki F'	883	periphery	Refseq	not available
Synechococcus elongatus PCC 7942 871	1140	periphery	Refseq	not available
Synechocystis sp. PCC 6803	1148	core	Refseq	not available
Mycoplasma agalactiae	2110	periphery	Refseq	not available
Phaeodactylum tricornutum	2850	core	Ensembl Protists	release 17
Chlamydomonas reinhardtii	3055	core	Ensembl Plants	release 17
Physcomitrella patens	3218	core	Ensembl Plants	release 17
Populus trichocarpa	3694	core	Ensembl Plants	release 17
Arabidopsis thaliana	3702	core	Ensembl Plants	release 17
Brassica rapa	3711	core	Ensembl Plants	release 17
Glycine max	3847	core	Ensembl Plants	release 17
Solanum lycopersicum	4081	core	Ensembl Plants	release 17
Solanum tuberosum	4113	core	Ensembl Plants	release 17
Hordeum vulgare	4513	core	Ensembl Plants	release 17
Oryza brachyantha	4533	periphery	Ensembl Plants	release 17
Oryza glaberrima	4538	periphery	Ensembl Plants	release 17
Setaria italica	4555	core	Ensembl Plants	release 17
Sorghum bicolor	4558	periphery	Ensembl Plants	release 17
Zea mays	4577	core	Ensembl Plants	release 17
Musa acuminata	4641	core	Ensembl Plants	release 17
Phytophthora infestans	4787	core	Ensembl Protists	release 17
Schizosaccharomyces pombe	4896	core	Ensembl Fungi	release 17
Pichia guilliermondii	4929	periphery	Uniprot	not available
Saccharomyces cerevisiae	4932	core	Ensembl	release 70
Torulaspora delbrueckii	4950	core	Refseq	fungi
Yarrowia lipolytica	4952	core	Refseq	fungi
Zygosaccharomyces rouxii	4956	periphery	Refseq	fungi
Leptosphaeria maculans	5022	core	Ensembl Fungi	release 17
Aspergillus clavatus	5057	periphery	Ensembl Fungi	release 17
Aspergillus flavus	5059	periphery	Ensembl Fungi	release 17
Aspergillus niger	5061	periphery	Ensembl Fungi	release 17
Aspergillus oryzae	5062	periphery	Ensembl Fungi	release 17
