#tax id	nog prefix	level name	species count	core species count	periphery species count	adherent species count	members tax ids
1	NOG	LUCA	3686	848	1183	1655	394 882 883 1140 1148 2110 2850 3055 3218 3694 3702 3711 3847 4081 4113 4513 4533 4538 4555 4558 4577 4641 4787 4896 4929 4932 4950 4952 4956 5022 5057 5059 5061 5062 5085 5141 5180 5270 5297 5306 5507 5518 5661 5664 5691 5722 5759 5762 5786 5811 5821 5825 5833 5850 5855 5911 6085 6183 6238 6239 6334 6669 6945 7029 7070 7091 7159 7165 7176 7217 7222 7227 7237 7244 7245 7260 7425 7460 7668 7719 7739 7757 7897 7955 8049 8083 8090 8128 8364 9031 9103 9258 9305 9315 9361 9371 9478 9483 9544 9593 9598 9601 9606 9615 9646 9669 9685 9739 9785 9796 9813 9823 9913 9986 10020 10090 10116 10141 10228 12957 13037 13616 13684 13735 15368 28377 29760 29850 29875 30608 30611 31033 31234 31964 32049 32051 33169 33178 34740 35128 36630 36870 37347 37692 39416 39946 39947 40041 40559 41431 43151 43179 43989 44689 45157 45351 50743 51453 51511 52598 54126 56780 58051 59196 59374 59463 59689 59729 59748 59919 59920 59922 59931 60480 60481 61853 62928 62977 63737 64091 64471 65071 65393 66084 66692 67593 69014 69042 69293 70448 70601 71421 74546 74547 75379 76114 76869 78245 79929 82789 83331 83332 83406 84588 85643 85962 85963 87626 88036 89187 91464 93058 93059 93060 93061 93062 94122 96561 96563 99287 99883 100226 101510 102608 103690 105559 106370 107806 110662 114615 115713 117187 118168 121225 121723 122586 122587 123214 126740 132908 134676 135651 137722 138119 138677 140110 146891 148304 148305 150340 153948 155864 156578 156586 156889 158189 158190 158878 158879 159087 159254 160488 160490 160491 160492 161528 162425 163164 164328 164513 164756 164757 166314 167539 167542 167546 167555 167879 169963 170187 171101 176279 176280 176299 177416 177437 177439 178306 180281 182082 183190 184922 186103 186497 187272 187410 187420 188626 188937 189423 189518 189918 190192 190304 190485 190486 190650 191218 192222 192952 193567 194439 195099 195102 195103 196162 196164 196600 196620 196627 197221 198094 198214 198215 198466 198628 198804 199310 203119 203120 203122 203123 203124 203267 203275 203907 204536 204669 204722 204773 205913 205914 205918 205919 205920 205921 205922 206672 207559 207949 207954 208348 208435 208596 208963 208964 209261 210007 211110 211586 212042 212045 212717 213810 214092 214684 215689 216389 216432 216591 216592 216594 216595 216596 216597 216599 216895 218491 218493 218494 218495 218496 218497 219305 220341 220664 220668 221109 221359 221360 221988 222523 222891 222929 223283 223926 224308 224324 224325 224326 224911 224914 224915 225849 225937 226185 226186 226900 227377 227882 227941 228399 228400 228405 228410 228908 229193 229533 232348 232363 232721 233412 233413 234267 234621 234826 234831 235279 235909 236097 237727 240015 240016 240176 240292 242231 242619 243090 243159 243160 243161 243164 243230 243231 243232 243233 243243 243265 243272 243273 243274 243275 243276 243277 243365 244592 245014 245018 246194 246195 246196 246197 246199 246200 246201 246410 246969 247156 247633 247634 247639 251221 252305 253839 254945 255470 257309 257310 257311 257313 257314 257363 258594 259536 259564 260799 261292 261317 261591 261594 262316 262543 262698 262719 262722 262723 262724 262727 262728 262768 263358 263820 264198 264199 264201 264202 264462 264730 264731 264732 265072 265311 265669 266117 266264 266265 266779 266834 266835 266940 267377 267409 267410 267608 267671 267747 267748 269084 269482 269483 269484 269796 269797 269798 269799 269800 270374 271848 272557 272558 272559 272560 272561 272562 272563 272564 272568 272569 272620 272621 272622 272623 272624 272626 272629 272630 272631 272632 272633 272634 272635 272831 272843 272844 272942 272943 272944 272947 272951 272952 273036 273057 273063 273068 273075 273116 273119 273121 273123 274854 278137 278197 279010 279238 279714 279808 280354 280355 280477 281090 281309 281310 281687 281689 282458 282459 283165 283166 283643 283942 284590 284593 284813 286604 286636 287752 288000 288681 288705 289376 289380 289397 290315 290317 290318 290338 290339 290340 290397 290398 290399 290400 290402 290434 290512 290633 290847 291272 291331 292414 292415 292459 292805 293613 293614 293653 293826 294746 294747 295319 295358 295405 296591 297245 297246 298386 298653 298654 299768 300267 300268 300269 300852 302409 304371 306254 306263 306264 306537 306901 306902 309798 309799 309800 309801 309803 309807 311402 311403 311424 312153 312284 312309 313589 313590 313594 313595 313596 313598 313603 313606 313612 313624 313625 313627 313628 314225 314230 314231 314232 314253 314254 314256 314260 314261 314262 314264 314265 314266 314267 314270 314271 314275 314276 314277 314278 314280 314282 314283 314285 314287 314291 314292 314315 314345 314565 314607 314608 314723 314724 315277 315456 315730 315749 315750 316055 316056 316057 316058 316067 316273 316274 316275 316278 316279 316385 316401 316407 317025 317655 318161 318167 318586 318829 319224 319225 319701 319795 320371 320372 320373 320374 320388 320389 320390 320483 320771 321314 321327 321332 321955 321956 321967 322098 322104 322159 322710 323097 323098 323259 323261 323848 323850 324057 324602 324831 324925 325240 326297 326298 326423 326424 326426 326427 326442 327275 329726 330214 330779 331104 331109 331111 331112 331113 331271 331272 331635 331636 331678 331869 331978 333146 333668 333849 333990 334380 334390 334406 334413 334802 334803 335283 335284 335541 335543 335992 336407 336963 336982 338187 338963 338966 338969 339670 339671 339724 339860 340047 340099 340100 340101 340102 340177 340185 340186 340322 342108 342109 342451 342610 342614 342617 342949 343509 344609 344610 344747 345072 345073 345074 345076 345219 347253 347255 347256 347257 347495 347834 348776 348780 349101 349102 349106 349123 349124 349161 349163 349307 349519 349520 349521 349741 349746 349747 350054 350058 350688 350701 350702 350704 351016 351160 351348 351581 351605 351607 351627 351745 351746 352165 352914 353151 353152 353153 353154 353496 354242 355249 355276 355277 355278 357244 357347 357348 357544 357804 357808 357809 358681 358708 358709 359391 359786 359787 360094 360095 360102 360104 360105 360106 360107 360108 360109 360110 360111 360112 360115 360116 360117 360118 360910 360911 361100 362242 362663 362948 362976 363253 364106 365044 365046 365659 366394 366602 367336 367459 367737 367775 367928 368407 368408 369723 370354 370438 370551 370552 370553 370554 370895 371731 372461 373153 373384 373903 374463 374833 374847 374927 374928 374930 374931 374932 374933 375063 375177 375286 375432 375451 376619 376686 377431 377628 377629 378753 378806 379066 379360 379508 379731 380394 380703 380749 381046 381666 381754 381764 382245 382464 382638 382640 383372 383407 383629 383631 384616 384676 384765 386043 386415 386585 386656 387092 387093 387344 387662 388272 388396 388399 388400 388401 388413 388739 388919 390235 390236 390333 390874 391008 391009 391037 391038 391165 391295 391296 391574 391587 391589 391591 391592 391593 391595 391596 391597 391598 391600 391601 391603 391612 391613 391615 391616 391619 391623 391624 391625 391626 391735 391774 391896 391904 392021 392499 392500 393011 393115 393117 393121 393123 393124 393125 393126 393127 393128 393130 393131 393133 393305 393480 393595 394221 394503 395019 395095 395491 395492 395494 395495 395960 395961 395962 395963 395965 396513 396588 396595 397945 397948 398000 398511 398513 398527 398577 398578 398579 398580 398720 398767 399549 399550 399599 399726 399739 399741 399742 399795 399804 400667 400668 400673 400682 401053 401473 401526 401614 401650 402612 402626 402676 402880 402881 402882 403779 403833 404380 404589 404974 405416 405440 405441 405531 405532 405533 405534 405535 405566 405948 405955 406124 406327 406425 406556 406557 406558 406559 406560 406561 406562 406563 406817 406818 406984 407148 407976 408672 409438 410289 410358 410359 411154 411459 411460 411461 411462 411463 411464 411465 411466 411467 411468 411469 411470 411471 411474 411476 411477 411479 411481 411483 411484 411485 411486 411489 411490 411684 411901 411902 411903 412021 412022 412030 412133 412418 412419 412597 412694 412965 412966 412967 413404 413997 413999 414684 415426 416269 416276 416348 416591 416870 417398 417400 418127 418136 419610 419665 419942 419947 420245 420246 420247 420336 420662 420889 420890 423211 423212 423368 423536 425067 425104 425265 425944 426114 426117 426118 426355 426368 426418 426430 427317 427318 428125 428126 428127 428128 428406 429009 429572 430066 430556 430557 430558 431895 431943 431946 431947 434131 434271 434922 434923 434924 435258 435590 435591 435832 435837 435838 435842 436017 436113 436114 436115 436308 436717 436907 437701 438753 439235 439292 439375 439386 439481 439483 439493 439495 439496 439497 439842 439843 439846 439851 439855 440085 440497 441375 441620 441768 441769 441770 441771 441772 441952 441959 441960 442346 442563 443143 443144 443149 443150 443152 443218 443254 443255 443906 444157 444158 444177 444178 444179 444447 444448 444449 444450 444451 444453 444612 445334 445335 445336 445337 445932 445970 445971 445972 445973 445974 445975 445983 445984 445985 445986 445987 446462 446465 446466 446468 446469 446470 446471 447214 447217 448385 449216 449447 449673 450394 450749 450851 451515 451516 451754 451755 451756 451757 452471 452637 452638 452652 452659 452662 452863 453361 453362 453363 453364 453365 453366 453591 454166 454168 454169 455434 455436 455488 455631 455632 456298 456320 456442 456481 457387 457388 457390 457391 457392 457393 457394 457395 457396 457398 457400 457401 457403 457405 457412 457416 457421 457424 457425 457427 457428 457429 457430 457431 457570 458233 458234 458817 460265 463191 465515 465516 465517 465541 465543 465817 467200 467661 467705 469008 469371 469378 469381 469382 469383 469585 469586 469587 469588 469589 469590 469591 469592 469593 469594 469595 469596 469598 469599 469601 469602 469603 469604 469605 469606 469608 469609 469610 469613 469615 469616 469617 469618 469621 470137 470145 470146 470735 471223 471472 471473 471821 471852 471853 471854 471855 471856 471857 471870 471871 471872 471874 471875 471876 471881 472759 473788 473819 474186 476210 476211 476212 476213 476272 477974 478004 478005 478008 478009 478433 478434 478435 478547 478749 478801 479431 479432 479433 479434 479435 479436 479437 479831 479832 479833 479834 480119 480224 481009 481448 481743 481805 483179 483214 483215 483216 483217 483218 483219 484018 484019 484021 484022 485913 485914 485915 485916 485917 485918 486041 486408 486409 486410 487213 487214 487215 487796 487797 488221 488222 488223 488537 488538 489653 489825 490899 491074 491076 491077 491078 491079 491080 491081 491915 491916 491952 492476 495036 496833 497962 497963 497964 497965 497978 498211 498213 498214 498216 498217 498736 498737 498738 498739 498740 498741 498742 498743 498761 498848 499174 499175 499176 499177 499229 500485 500633 500635 500637 500639 500640 501479 502025 502346 502347 502558 502779 502800 502801 504472 504474 504728 504832 505321 505682 506534 507522 508765 508767 509169 509170 509173 509190 509191 509193 510831 511062 511145 511437 511680 511691 511995 512562 512564 512566 512767 512768 512769 513049 513051 513052 513053 515608 515609 515611 515615 515616 515617 515618 515619 515620 515621 515622 515635 515849 516950 517417 517418 517433 517436 517437 517722 518603 518634 518635 518637 518766 519049 519441 519442 519851 520140 520141 520448 520449 520450 520451 520452 520453 520454 520455 520456 520457 520458 520459 520460 520461 520462 520463 520464 520465 520466 520487 520488 520489 520999 521000 521002 521003 521004 521005 521006 521007 521008 521010 521011 521045 521095 521096 521097 521098 521460 521674 522306 522373 522772 523791 523794 523796 523846 523850 525146 525242 525243 525244 525245 525246 525254 525255 525256 525257 525258 525259 525260 525262 525263 525264 525268 525271 525278 525279 525280 525281 525282 525283 525284 525306 525309 525310 525318 525325 525326 525327 525328 525329 525330 525337 525338 525341 525361 525362 525364 525365 525366 525367 525369 525370 525372 525373 525374 525375 525376 525377 525378 525379 525381 525897 525898 525903 525904 525909 525919 526218 526221 526222 526224 526225 526226 526227 526347 526967 526968 526969 526970 526971 526972 526973 526974 526975 526976 526977 526978 526979 526980 526981 526982 526984 526985 526988 526989 526990 526997 527019 527021 527022 527024 527025 527028 527029 527030 527031 527032 528345 528346 528347 528348 528351 528352 528353 528354 528355 528356 528357 528358 528359 528360 529507 529709 529885 530564 531844 533240 533247 535024 535025 535026 535205 535206 535289 535722 536019 536056 536227 536229 536232 536233 537007 537011 537013 537021 537209 537210 537457 537937 537970 537971 537972 537973 539329 541229 543302 543526 543538 543539 543540 543728 543734 544404 544405 544406 544556 544875 545422 545693 545694 545695 545696 545774 545776 546231 546262 546263 546264 546265 546266 546267 546268 546269 546270 546271 546272 546273 546274 546275 546342 546343 546414 547042 547043 547045 547048 547468 547558 547559 548470 548473 548474 548475 548476 548477 548478 548479 548480 548485 550537 550538 550540 550542 550672 550676 550677 550687 550694 550747 550748 550773 551115 552395 552396 552398 552526 552531 552536 552811 553171 553174 553175 553177 553178 553184 553190 553191 553199 553201 553204 553206 553207 553209 553212 553217 553218 553219 553220 553480 553481 553482 553565 553567 553568 553571 553573 553574 553577 553580 553581 553583 553588 553590 553592 553594 553596 553601 553973 554155 554290 555079 555088 555217 555311 555461 555778 555779 555970 556258 556259 556260 556261 556263 556264 556266 556267 556268 556269 556270 557433 557436 557598 557599 557600 557601 557722 557723 557724 557760 559298 559301 559305 561007 561177 561180 561229 561230 561231 561275 561276 561304 561501 562019 562020 562970 562971 562973 562981 562982 562983 563008 563032 563036 563037 563038 563040 563041 563045 563174 563178 563191 563192 563193 563194 563771 563773 563990 564416 564417 564418 564419 565034 565040 565042 565045 565050 565575 565636 565637 565638 565639 565640 565641 565642 565643 565644 565645 565646 565647 565648 565649 565650 565651 565652 565653 565654 565655 565656 565657 565658 565659 565660 565661 565662 565663 565664 565665 565666 566461 566466 566546 566549 566552 567106 568206 568703 568704 568708 568813 568814 568815 568816 568817 568819 569881 570417 570507 570508 572263 572264 572265 572307 572418 572477 572478 572479 572480 572544 572545 572546 572547 573059 573061 573062 573063 573064 573065 573066 573234 573235 573236 573237 573370 573395 573413 573569 573729 573825 573826 574087 574093 574521 574556 574965 575540 575564 575565 575584 575585 575586 575587 575588 575589 575590 575591 575593 575594 575595 575596 575597 575599 575605 575606 575607 575609 575611 575612 575614 575615 575788 577650 578455 578458 579112 579137 579138 579405 580047 580049 580050 580327 580331 580332 580340 581103 582402 582744 582899 583345 583346 583355 583356 583358 584708 585034 585035 585054 585055 585056 585057 585143 585144 585145 585146 585147 585148 585149 585150 585151 585152 585153 585154 585155 585156 585157 585158 585159 585160 585161 585198 585199 585202 585203 585204 585394 585395 585396 585397 585501 585502 585503 585506 585517 585520 585524 585528 585529 585530 585531 585535 585538 585543 585544 585891 586220 588581 588857 588858 589861 589865 589924 590168 590409 590998 591001 591019 591020 591023 591157 591158 591159 591167 591946 592010 592014 592015 592021 592022 592026 592027 592028 592031 592205 592313 592316 593117 593275 593585 593586 593587 593588 593589 593590 593907 595494 595495 595496 595497 595498 595499 595501 595536 595537 596151 596153 596154 596309 596312 596315 596317 596318 596319 596320 596322 596323 596324 596325 596326 596327 596328 596329 596330 598659 600809 604162 604354 608506 608534 608538 610130 611302 611303 611304 613026 619693 621372 622312 622637 622759 626095 626096 626369 626418 626522 626523 626939 627192 629258 629259 629260 629261 629262 629263 629264 629265 629266 629267 629268 629270 629741 629742 630527 630588 632245 632292 632335 632348 632516 632518 632772 633131 633145 633147 633148 633149 633697 633699 634176 634177 634452 634453 634454 634455 634456 634457 634458 634459 634464 634497 634498 634499 634500 634503 634504 634956 634994 635013 637380 637381 637382 637385 637386 637387 637388 637389 637616 637887 637905 637909 637910 637911 637913 637987 637988 638300 638301 638302 638303 638315 639282 639283 640081 640131 640132 640510 640511 640512 640513 641112 641118 641140 641144 641146 641147 641149 641491 641892 642492 643561 643562 643648 643867 644042 644076 644107 644223 644279 644281 644282 644283 644284 644295 644548 644651 644966 644968 645127 645462 645463 645464 645465 645512 645657 645663 645991 647113 647227 648757 648996 648999 649189 649349 649638 649639 649742 649743 649754 649760 649761 649764 650150 652103 652620 653045 653733 653938 653948 655225 655811 655812 655813 655815 655816 655817 656024 656372 656374 656379 656380 656383 656388 656390 656393 656404 656408 656414 656417 656419 656420 656429 656437 656440 656443 656444 656449 656519 656912 656913 657309 657310 657313 657314 657315 657317 657318 657319 657321 657322 657323 657324 658081 658082 658083 658085 658086 658088 658089 658172 658187 658599 658600 658655 658659 658664 659019 660470 661367 661410 661513 662598 662755 663202 663278 663321 663331 663886 663887 663917 663951 663952 663954 665029 665571 665937 665938 665943 665950 665951 665953 665954 665958 665959 666510 666681 666684 666714 667014 667015 667127 667128 667129 668336 669261 669262 670487 670888 670890 670892 670893 670894 670897 670899 670904 670905 671074 671076 672161 673266 673519 674977 675512 675513 675514 675515 675516 675517 675518 675519 675520 675521 675522 675635 675806 675810 675811 675812 675813 675814 675815 675816 675817 675820 676032 679188 679189 679190 679191 679192 679193 679194 679195 679196 679197 679202 679204 679205 679206 679207 679896 679897 679901 679926 679936 679937 680198 680646 681288 681645 682147 682148 682634 682795 683082 683083 683219 683837 684719 684738 684950 685035 685038 685039 685727 686659 686660 688245 688246 688269 688270 690566 690850 691336 691338 691437 692420 693216 693661 693745 693746 693748 693750 693970 693971 693973 693974 693977 693978 693979 693982 693985 694427 694429 694569 695560 695562 696125 696127 696369 696406 696747 696749 697281 697282 697303 697329 698737 698757 698936 698962 698963 698964 698965 698966 698967 698968 698969 698970 698971 698972 698973 699184 699185 699186 699218 699246 700015 700598 701176 701177 701347 701521 702113 702438 702443 702446 702447 702450 702452 702453 702455 702456 702459 703339 703352 703612 706191 706194 706433 706434 706436 706437 707183 707184 707185 707186 707187 707232 707235 707241 708248 708616 709032 709797 709986 709991 710127 710128 710393 710685 710696 712898 712938 712961 713600 713601 713602 713603 713604 713605 713887 714313 714359 714943 714961 714962 714995 715225 715226 715451 716540 716541 716544 717231 717522 717606 717608 717773 717774 717785 717959 717960 717961 717962 718219 718251 718252 718254 718255 718271 720554 720555 722419 722438 722911 741091 742013 742159 742723 742740 742741 742766 742767 742820 742821 743299 743525 743718 743720 743721 743722 743965 744872 744979 744980 745015 745017 745018 745019 745020 745021 745022 745277 746360 746361 747365 747682 748224 748280 748671 748727 749219 749222 749414 749489 749490 749491 749492 749493 749494 749495 749496 749497 749498 749499 749500 749501 749502 749503 749504 749505 749506 749507 749508 749509 749510 749511 749512 749513 749514 749515 749516 749517 749518 749520 749521 749522 749523 749524 749525 749529 749530 749536 749539 749541 749542 749551 749927 749949 749950 749951 751586 752555 753642 754025 754026 754027 754082 754092 754093 754252 754254 754255 754256 754258 754259 754260 754261 754262 754507 755731 755732 756067 756272 756883 757424 757425 758678 759350 759362 759363 759364 759914 760011 760142 760192 760568 760570 761193 762051 762376 762550 762570 762633 762903 762948 762962 762963 762966 762982 762983 762984 763034 763919 764291 764298 764299 764544 765057 765058 765061 765063 765064 765065 765066 765067 765068 765069 765070 765071 765072 765073 765074 765075 765076 765077 765078 765079 765080 765081 765082 765083 765084 765085 765086 765087 765088 765089 765090 765091 765092 765093 765094 765095 765096 765097 765098 765099 765100 765101 765102 765103 765104 765105 765106 765107 765108 765109 765110 765111 765112 765113 765114 765115 765116 765117 765118 765119 765120 765121 765122 765123 765124 765177 765420 765698 765874 765910 765952 765962 765963 765964 766139 766141 766142 766145 766146 766147 766148 766149 766152 766157 766159 766160 766762 767031 767100 767455 767462 767463 768065 768066 768490 768492 768493 768670 768679 768700 768706 768713 768724 768726 768728 771870 784613 788929 789332 791161 794851 795359 795797 796392 796620 797209 797210 856793 857087 857571 857572 857573 857574 857575 857576 857577 857578 857579 857581 858215 858313 858314 858315 858316 858317 858318 858619 859194 859198 859199 859654 859656 860228 861208 861360 861557 862259 862512 862513 862514 862515 862516 862517 862719 862751 862908 862962 862964 862965 863638 864563 864564 864565 864566 864567 864568 864569 864570 865867 865938 866344 866345 866346 866629 866630 866768 866770 866771 866773 866774 866775 866776 866777 866778 866779 867900 867903 868131 868132 868595 868597 868864 869209 869210 869211 869214 869215 869216 869269 869727 869729 869816 870967 871237 871271 871562 871571 871585 871586 871587 871588 871589 871590 871591 871592 871593 871925 872331 873447 873448 873449 873513 873517 873533 875328 875329 875330 876044 876138 876142 878320 879243 879295 879296 879297 879298 879299 879300 879301 879302 879303 879304 879305 879306 879307 879308 879309 879310 880070 880072 880447 880591 880724 881621 882102 882378 882863 882864 882865 882866 882867 882869 882884 883062 885275 885276 886377 886738 886872 886882 886886 887061 887062 887324 887325 887326 887327 887712 887898 887899 887929 888027 888048 888049 888052 888056 888057 888059 888060 888062 888063 888064 888066 888728 888741 888742 888743 888745 888746 888801 888825 888826 888827 888828 888832 888833 889201 889204 889206 889513 889932 889933 890402 891391 891398 891974 903503 903510 903814 904139 904293 904294 904296 904306 904317 904319 904321 904328 904330 904334 904338 904347 904723 904725 904726 904728 904730 904731 904738 904744 904747 904749 904759 904760 904763 905067 906968 907237 907238 907239 907240 907287 907931 907965 908337 908338 908339 908340 908341 908612 908937 909420 909945 909946 909947 909952 909954 910310 910311 910312 910313 910314 911045 911104 911237 913239 913848 914127 914149 926026 926027 926028 926029 926030 926032 926562 926569 926570 927666 927691 927703 928327 928328 929102 929439 929506 929557 930170 930171 930781 930782 930942 930943 930944 930945 930946 931281 931626 931890 932676 932677 933093 933115 933801 935297 935298 935586 935587 935588 935589 935590 935591 935592 935593 935594 935595 935597 935598 935599 935697 935897 936047 936048 936139 936140 936153 936154 936155 936156 937773 937774 940190 940296 940615 941193 941429 941435 941638 941639 941640 941770 941967 941968 942513 943945 944546 944547 944557 944559 944560 944562 944564 944565 945021 945360 945434 945543 945550 945681 945704 945711 945712 946034 948561 948563 956483 977880 979556 979982 980514 981222 981367 981368 981383 981539 981540 983328 983544 983545 983548 983920 984129 984892 984894 985002 985006 985053 985080 985081 985665 985867 986075 987059 990282 990288 990315 990316 990317 991791 991905 992186 992402 992403 992404 992405 992406 993512 994476 994484 996285 996637 997346 997348 997352 997353 997825 997830 998088 998820 999141 999378 999541 999630 999891 1000565 1000568 1000569 1000570 1000588 1000589 1001530 1001582 1001585 1001989 1001994 1002339 1002672 1002804 1003195 1003200 1003238 1004153 1004836 1004951 1004952 1005041 1005042 1005048 1005057 1005058 1005090 1005703 1005705 1005706 1006006 1006007 1006543 1006551 1007064 1007104 1007105 1008459 1009370 1009464 1010838 1017264 1026882 1027292 1027371 1027396 1027843 1027844 1027845 1027846 1028307 1028799 1028802 1028803 1028804 1028805 1028806 1029718 1029822 1029825 1030009 1030843 1031709 1031710 1031711 1032480 1032845 1033802 1033806 1033810 1033813 1033837 1034807 1034808 1034809 1034836 1035184 1035188 1035189 1035377 1035817 1036673 1036674 1036743 1037409 1037410 1040964 1041504 1041521 1041522 1041809 1041826 1042156 1042163 1042403 1042803 1042876 1042877 1042878 1045854 1045855 1045856 1045858 1046627 1046629 1047171 1048245 1048254 1048332 1048689 1048834 1049565 1050720 1051006 1051072 1051074 1051075 1051632 1051646 1052585 1052588 1052684 1053648 1053692 1054460 1055528 1055529 1055530 1064535 1064539 1064592 1068608 1069533 1071378 1071381 1072459 1074485 1074889 1075089 1075106 1075399 1081093 1081646 1082931 1085623 1087452 1087453 1087454 1088720 1089456 1091045 1095774 1097668 1104320 1104321 1104322 1104324 1105100 1105101 1105102 1105103 1105104 1105105 1105107 1105112 1107880 1110509 1111068 1111069 1111676 1112204 1112856 1112912 1114958 1114966 1114967 1114969 1114970 1116231 1116375 1117943 1118959 1123523 1123863 1125630 1126229 1127134 1129369 1132507 1133850 1142511
57723	aciNOG	Acidobacteria	7	6	1	0	204669 234267 240015 401053 682795 940615 981222
204432	acidNOG	Acidobacteriia	4	3	1	0	240015 401053 682795 940615
422676	acoNOG	Aconoidasida	8	1	7	0	5821 5825 5833 5850 5855 333668 352914 353154
201174	actNOG	Actinobacteria	397	75	106	216	31964 83331 83332 100226 101510 106370 134676 164513 164756 164757 188626 189918 196162 196164 196627 203267 205913 206672 216594 218496 219305 227882 233413 234621 243243 246196 247156 253839 257309 262316 263358 266117 266940 267747 269800 272631 278137 281090 288705 290340 290399 298653 298654 306537 312284 313589 321955 326424 326426 336982 340322 348776 350054 350058 351607 355249 362242 367928 369723 378753 391037 391904 395095 398513 401473 405948 408672 410289 411466 411481 411903 419947 442563 443149 443150 443218 443255 443906 445975 446462 446465 446466 446468 446469 446470 446471 452652 452863 455632 457425 457427 457428 457429 457430 457431 463191 465515 465541 465543 467200 469371 469378 469383 469594 471852 471853 471855 471856 471857 473819 478433 478434 478435 478801 479431 479432 479433 479435 479437 486409 502558 504474 515615 515616 515617 518634 518635 520140 520141 521003 521095 521096 525245 525246 525256 525260 525262 525263 525264 525268 525284 525370 525909 526225 526226 537209 537210 537937 547043 548476 548477 548478 548479 548480 552531 553184 553190 553191 553199 553201 553204 553206 553207 553481 555461 555970 557599 561007 561180 561275 561304 562973 563032 565040 565042 566461 566549 566552 572418 573236 580050 585198 585199 585528 585529 585530 585531 590998 591157 591158 591159 591167 593907 596309 596312 596328 611302 611303 611304 632772 633147 640132 641144 641146 644283 644284 644548 645127 645465 648999 649189 649742 649743 649754 649764 653045 656024 659019 662755 663886 663887 665943 675512 675513 675514 675515 675516 675517 675518 675519 675520 675521 675522 675635 679193 679194 679195 679197 679896 680198 680646 681645 682147 682148 683219 685727 686659 698962 698963 698964 698965 698966 698967 698968 698969 698970 698971 698972 698973 700015 702459 707235 710685 710696 713604 717522 722911 743718 749414 749927 754252 759350 762948 762963 765057 765058 765061 765063 765064 765065 765066 765067 765068 765069 765070 765071 765072 765073 765074 765075 765076 765077 765078 765079 765080 765081 765082 765083 765084 765085 765086 765087 765088 765089 765090 765091 765092 765093 765094 765095 765096 765097 765098 765099 765100 765101 765102 765103 765104 765105 765106 765107 765108 765109 765110 765111 765112 765113 765114 765115 765116 765117 765118 765119 765120 765121 765122 765123 765124 765874 858619 861360 862512 862751 864564 866770 866774 866777 871562 871571 875328 879307 883062 887326 887899 888052 888056 889513 890402 909952 910311 911237 930171 935298 935697 936047 936048 944560 945711 945712 979556 996637 1003195 1005703 1009464 1010838 1027371 1031709 1032480 1035817 1041522 1042403 1048245 1051006 1074485 1075106 1087452 1087453 1087454 1091045 1112204 1114966 1114967 1114969 1126229 1127134 1133850
5338	agaNOG	Agaricales	3	3	0	0	240176 486041 578458
155619	agarNOG	Agaricomycetes	4	3	1	0	5306 240176 486041 578458
5794	apiNOG	Apicomplexa	13	2	11	0	5811 5821 5825 5833 5850 5855 333668 352914 353151 353152 353154 441375 572307
28211	aproNOG	Proteobacteria_alpha	290	90	102	98	394 52598 66084 78245 82789 89187 114615 137722 161528 163164 176299 190650 204722 205920 212042 216596 222891 224911 224914 228405 234826 237727 244592 246200 252305 254945 257363 258594 262698 266779 266834 266835 269484 269796 272568 272630 272942 272943 272944 272947 272951 279238 283165 283166 287752 288000 290400 290633 292414 292805 293613 293614 302409 311402 311403 314225 314231 314232 314253 314254 314256 314260 314261 314262 314264 314265 314266 314267 314270 314271 315456 316055 316056 316057 316058 317655 318586 320483 323097 323098 331869 334380 335992 336407 342108 347255 347834 349101 349102 349163 351016 357244 359391 360095 366394 366602 367336 371731 375451 382640 383629 384765 388399 388401 388739 391165 391589 391593 391595 391600 391613 391616 391619 391624 391626 391896 392021 392499 394221 395491 395492 395960 395963 395965 398580 402881 403779 411684 412597 414684 416276 419610 426117 426355 430066 434131 437701 438753 439375 439493 439495 439496 439497 440085 441620 444178 444612 449216 450851 452659 452662 460265 467661 470137 470735 481009 483179 488538 491916 501479 504832 509190 517436 517437 517722 520448 520449 520450 520451 520452 520453 520454 520455 520456 520457 520458 520459 520460 520461 520462 520463 520464 520465 520466 520487 520488 520489 536019 537021 546272 555217 557760 562019 565050 568815 569881 570417 573065 573234 574556 575591 579138 582402 582899 595497 595536 622637 622759 627192 633131 633149 634177 634452 634453 634454 634455 634456 634457 634458 634459 634504 639283 641118 641140 644076 644107 648757 652103 652620 658172 661410 666684 684719 685035 690566 693748 693750 693982 696125 696127 698936 702113 703352 707241 709797 714995 715226 717785 744979 744980 751586 759362 765698 856793 861208 862719 880591 911045 926570 941638 941967 945681 983920 985867 991905 992186 1002672 1004836 1007104 1029825 1031710 1032845 1036743 1037409 1050720 1051075 1064539 1082931 1104320 1104321 1105100 1105101 1105102 1105103 1105104 1105105 1105107 1105112 1112912 1117943
200783	aquNOG	Aquificae	9	8	1	0	123214 204536 224324 380749 436114 608538 638303 648996 868864
